Year,Month,Close,DATE,UNRATE
2016,7,2148.9019775390625,2016-07-01,4.8
2016,8,2177.482167119565,2016-08-01,4.9
2016,9,2157.690964471726,2016-09-01,5.0
2016,10,2143.0209379650296,2016-10-01,4.9
2016,11,2164.9856887090773,2016-11-01,4.7
2016,12,2246.6290457589284,2016-12-01,4.7
2017,1,2275.1159790039064,2017-01-01,4.7
2017,2,2329.9105417351975,2017-02-01,4.6
2017,3,2366.822170091712,2017-03-01,4.4
2017,4,2359.309454666941,2017-04-01,4.4
2017,5,2395.345880681818,2017-05-01,4.4
2017,6,2433.98545143821,2017-06-01,4.3
2017,7,2454.102502441406,2017-07-01,4.3
2017,8,2456.2230702275815,2017-08-01,4.4
2017,9,2492.8410400390626,2017-09-01,4.3
2017,10,2556.9972700639205,2017-10-01,4.2
2017,11,2593.605736142113,2017-11-01,4.2
2017,12,2664.34052734375,2017-12-01,4.1
2018,1,2789.8038155691966,2018-01-01,4.0
2018,2,2705.1552477384867,2018-02-01,4.1
2018,3,2702.7738211495534,2018-03-01,4.0
2018,4,2653.6252092633927,2018-04-01,4.0
2018,5,2701.4936190518465,2018-05-01,3.8
2018,6,2754.3528878348216,2018-06-01,4.0
2018,7,2793.643357049851,2018-07-01,3.8
2018,8,2857.8204292629075,2018-08-01,3.8
2018,9,2901.5005139802633,2018-09-01,3.7
2018,10,2785.4647800611415,2018-10-01,3.8
2018,11,2723.231422061012,2018-11-01,3.8
2018,12,2567.3073858963817,2018-12-01,3.9
2019,1,2607.3899972098216,2019-01-01,4.0
2019,2,2754.8642064144738,2019-02-01,3.8
2019,3,2803.9837937127977,2019-03-01,3.8
2019,4,2903.799979073661,2019-04-01,3.7
2019,5,2854.705910422585,2019-05-01,3.6
2019,6,2890.165979003906,2019-06-01,3.6
2019,7,2996.1136363636365,2019-07-01,3.7
2019,8,2897.450450550426,2019-08-01,3.6
2019,9,2982.156005859375,2019-09-01,3.5
2019,10,2977.675197435462,2019-10-01,3.6
2019,11,3104.9044921875,2019-11-01,3.6
2019,12,3176.74951171875,2019-12-01,3.6
2020,1,3278.202857607887,2020-01-01,3.6
2020,2,3277.3141832853617,2020-02-01,3.5
2020,3,2652.393632368608,2020-03-01,4.4
2020,4,2761.9752255394346,2020-04-01,14.8
2020,5,2919.6084838867187,2020-05-01,13.2
2020,6,3104.6609330610795,2020-06-01,11.0
2020,7,3207.6190962357955,2020-07-01,10.2
2020,8,3391.7100190662204,2020-08-01,8.4
2020,9,3365.516671316964,2020-09-01,7.8
2020,10,3418.6999955610795,2020-10-01,6.8
2020,11,3548.99248046875,2020-11-01,6.7
2020,12,3695.3100142045455,2020-12-01,6.7
2021,1,3793.7484323601975,2021-01-01,6.4
2021,2,3883.4321160567433,2021-02-01,6.2
2021,3,3910.5082795516305,2021-03-01,6.1
2021,4,4141.176199776785,2021-04-01,6.1
2021,5,4167.849536132812,2021-05-01,5.8
2021,6,4238.48954634233,2021-06-01,5.9
2021,7,4363.712797619048,2021-07-01,5.4
2021,8,4453.965931285511,2021-08-01,5.1
2021,9,4445.543317522322,2021-09-01,4.7
2021,10,4460.707077752976,2021-10-01,4.5
2021,11,4667.386648995535,2021-11-01,4.1
2021,12,4674.772771661932,2021-12-01,3.9
2022,1,4573.815454101563,2022-01-01,4.0
2022,2,4435.980494449013,2022-02-01,3.8
2022,3,4391.265264096467,2022-03-01,3.6
2022,4,4391.29599609375,2022-04-01,3.7
2022,5,4040.3600027901784,2022-05-01,3.6
2022,6,3898.9466843377977,2022-06-01,3.6
2022,7,3911.7294921875,2022-07-01,3.5
2022,8,4158.563083814538,2022-08-01,3.6
2022,9,3850.5204961867557,2022-09-01,3.5
2022,10,3726.050955636161,2022-10-01,3.6
2022,11,3917.488595145089,2022-11-01,3.6
2022,12,3912.3809523809523,2022-12-01,3.5
2023,1,3960.656530761719,2023-01-01,3.4
2023,2,4079.6847245065787,2023-02-01,3.6
2023,3,3968.5591457201085,2023-03-01,3.5
2023,4,4121.467362253289,2023-04-01,3.4
2023,5,4146.1731955788355,2023-05-01,3.7
2023,6,4345.372837611607,2023-06-01,3.6
2023,7,4508.07548828125,2023-07-01,3.5
2023,8,4457.358674422554,2023-08-01,3.8
2023,9,4409.094995117188,2023-09-01,3.8
2023,10,4269.400945490057,2023-10-01,3.8
2023,11,4460.063313802083,2023-11-01,3.7
2023,12,4685.051489257812,2023-12-01,3.7
